Concept,feat_name,feat_value,lemtzd_feat_val,weight,conc(w),,,,
area,RelatedTo,scope,['scope'],1,3.72,,,,
area,IsA,non_aspectual_quantity,['non' 'aspectual' 'quantity'],1,3.72,,,,
area,IsA,spatial_quantity,['spatial' 'quantity'],1,3.72,,,,
area,IsA,another_word_for_place,['word' 'place'],1,3.72,,,,
area,IsA,square_quantity,['square' 'quantity'],1,3.72,,,,
area,CapableOf,part_of_town,['part' 'town'],1,3.72,,,,
area,DefinedAs,size_of_city,['size' 'city'],1,3.72,,,,
area,ReceivesAction,lived_on,['live'],1,3.72,,,,
area,IsA,area,['area'],2,3.72,,,,
area,RelatedTo,area,['area'],2,3.72,,,,
area,RelatedTo,region,['region'],1,3.72,,,,
area,RelatedTo,zone,['zone'],0.256,3.72,,,,
student,AtLocation,university,['university'],6.32455532,4.92,,,,
student,CapableOf,question_teacher,['question' 'teacher'],6,4.92,,,,
student,CapableOf,complete_homework,['complete' 'homework'],4.898979486,4.92,,,,
student,CapableOf,note_fact,['note' 'fact'],4.898979486,4.92,,,,
student,CapableOf,study_book,['study' 'book'],4.472135955,4.92,,,,
student,CapableOf,study,['study'],4.472135955,4.92,,,,
student,CapableOf,master_subject,['master' 'subject'],4.472135955,4.92,,,,
student,CapableOf,doubt_teacher,['doubt' 'teacher'],4,4.92,,,,
student,CapableOf,read_book,['read' 'book'],4,4.92,,,,
student,CapableOf,study_math,['study' 'math'],4,4.92,,,,
student,CapableOf,fail_test,['fail' 'test'],4,4.92,,,,
student,AtLocation,college,['college'],4,4.92,,,,
student,CapableOf,answer_question,['answer' 'question'],3.464101615,4.92,,,,
student,AtLocation,classroom,['classroom'],3.464101615,4.92,,,,
student,AtLocation,library,['library'],3.464101615,4.92,,,,
student,Desires,learn,['learn'],3.464101615,4.92,,,,
student,PartOf,class,['class'],2.828427125,4.92,,,,
student,IsA,enrollee,['enrollee'],2,4.92,,,,
student,AtLocation,college_class,['college' 'class'],2,4.92,,,,
student,RelatedTo,school,['school'],1,4.92,,,,
student,RelatedTo,person,['person'],1,4.92,,,,
student,RelatedTo,learn,['learn'],1,4.92,,,,
student,IsA,worker,['worker'],1,4.92,,,,
student,IsA,learning,['learning'],1,4.92,,,,
student,HasA,plenty_of_free_time,['plenty' 'free' 'time'],1,4.92,,,,
student,IsA,student,['student'],6.32455532,4.92,,,,
student,RelatedTo,student,['student'],6.32455532,4.92,,,,
student,Synonym,pupil,['pupil'],1,4.92,,,,
student,RelatedTo,pupil,['pupil'],0.591,4.92,,,,
student,Antonym,professor,['professor'],0.126,4.92,,,,
attorney,CapableOf,prove_case,['prove' 'case'],2,4.52,,,,
attorney,RelatedTo,authorize,['authorize'],1,4.52,,,,
attorney,RelatedTo,legal,['legal'],1,4.52,,,,
attorney,RelatedTo,lawyer,['lawyer'],1,4.52,,,,
attorney,RelatedTo,advise,['advise'],1,4.52,,,,
attorney,RelatedTo,proctor,['proctor'],1,4.52,,,,
attorney,RelatedTo,profession,['profession'],1,4.52,,,,
attorney,RelatedTo,matter,['matter'],1,4.52,,,,
attorney,RelatedTo,represent,['represent'],1,4.52,,,,
attorney,RelatedTo,representative,['representative'],1,4.52,,,,
attorney,CapableOf,right_wrong,['right' 'wrong'],1,4.52,,,,
attorney,CapableOf,put_clients_mind_at_ease,['put' 'client' 'mind' 'ease'],1,4.52,,,,
attorney,CapableOf,state_case,['state' 'case'],1,4.52,,,,
attorney,CapableOf,represent_in_lawsuit,['represent' 'lawsuit'],1,4.52,,,,
attorney,IsA,attorney,['attorney'],2,4.52,,,,
attorney,RelatedTo,attorney,['attorney'],2,4.52,,,,
attorney,Synonym,lawyer,['lawyer'],2,4.52,,,,
hallway,AtLocation,building,['building'],3.464101615,4.74,,,,
hallway,AtLocation,house,['house'],2.828427125,4.74,,,,
hallway,IsA,corridor,['corridor'],2,4.74,,,,
hallway,UsedFor,go_between_nonadjacent_rooms,['go' 'non' 'adjacent' 'room'],2,4.74,,,,
hallway,UsedFor,walking_in,['walk'],2,4.74,,,,
hallway,UsedFor,moving_between_rooms,['move' 'room'],2,4.74,,,,
hallway,AtLocation,office_building,['office' 'building'],2,4.74,,,,
hallway,IsA,hall,['hall'],1,4.74,,,,
hallway,IsA,constructed_route,['constructed' 'route'],1,4.74,,,,
hallway,IsA,space,['space'],1,4.74,,,,
hallway,IsA,indoor_space,['indoor' 'space'],1,4.74,,,,
hallway,IsA,room,['room'],1,4.74,,,,
hallway,UsedFor,putting_water_fountains,['put' 'water' 'fountain'],1,4.74,,,,
hallway,UsedFor,connecting_places,['connect' 'place'],1,4.74,,,,
hallway,UsedFor,having_doors,['have' 'door'],1,4.74,,,,
hallway,UsedFor,going_from_one_room_to_another,['go' 'one' 'room'],1,4.74,,,,
hallway,UsedFor,entrance,['entrance'],1,4.74,,,,
hallway,UsedFor,stairs_to_lead_to,['stair' 'lead'],1,4.74,,,,
hallway,UsedFor,easy_access_to_many_rooms,['easy' 'access' 'many' 'room'],1,4.74,,,,
hallway,UsedFor,hanging_pictures,['hang' 'picture'],1,4.74,,,,
hallway,HasProperty,flat,['flat'],1,4.74,,,,
hallway,IsA,hallway,['hallway'],3.464101615,4.74,,,,
hallway,RelatedTo,hallway,['hallway'],3.464101615,4.74,,,,
hallway,RelatedTo,corridor,['corridor'],1,4.74,,,,
teacher,CapableOf,school_students,['school' 'student'],6.633249581,4.52,,,,
teacher,AtLocation,classroom,['classroom'],6.633249581,4.52,,,,
teacher,CapableOf,teach_students,['teach' 'student'],5.291502622,4.52,,,,
teacher,CapableOf,state_fact,['state' 'fact'],5.291502622,4.52,,,,
teacher,CapableOf,answer_questions,['answer' 'question'],4.472135955,4.52,,,,
teacher,CapableOf,time_test,['time' 'test'],4.472135955,4.52,,,,
teacher,CapableOf,help_student,['help' 'student'],4.472135955,4.52,,,,
teacher,CapableOf,question_student,['question' 'student'],4,4.52,,,,
teacher,Desires,students_to_learn,['student' 'learn'],4,4.52,,,,
teacher,CapableOf,mark_homework,['mark' 'homework'],3.464101615,4.52,,,,
teacher,CapableOf,fail_student,['fail' 'student'],3.464101615,4.52,,,,
teacher,CapableOf,work_in_school,['work' 'school'],3.464101615,4.52,,,,
teacher,Desires,interested_students,['interested' 'student'],3.464101615,4.52,,,,
teacher,Desires,teach,['teach'],2.828427125,4.52,,,,
teacher,RelatedTo,teach,['teach'],2,4.52,,,,
teacher,IsA,abstraction,['abstraction'],2,4.52,,,,
teacher,IsA,educator,['educator'],2,4.52,,,,
teacher,Desires,educate_students,['educate' 'student'],2,4.52,,,,
teacher,RelatedTo,indication,['indication'],1,4.52,,,,
teacher,IsA,person_who's_occupation_teaching,['occupation' 'teaching'],1,4.52,,,,
teacher,IsA,person_who_shares_knowledge,['person' 'share' 'knowledge'],1,4.52,,,,
teacher,IsA,academic,['academic'],1,4.52,,,,
teacher,IsA,common_employee_of_university,['common' 'employee' 'university'],1,4.52,,,,
teacher,IsA,who_helps_learn,['help' 'learn'],1,4.52,,,,
teacher,IsA,person,['person'],1,4.52,,,,
teacher,IsA,teacher,['teacher'],6.633249581,4.52,,,,
teacher,RelatedTo,teacher,['teacher'],6.633249581,4.52,,,,
teacher,RelatedTo,instructor,['instructor'],0.29,4.52,,,,
taxi,AtLocation,airport,['airport'],3.464101615,4.93,,,,
taxi,IsA,form_of_transportation,['form' 'transportation'],2.828427125,4.93,,,,
taxi,AtLocation,train_station,['train' 'station'],2.828427125,4.93,,,,
taxi,MannerOf,travel,['travel'],2,4.93,,,,
taxi,MannerOf,ride,['ride'],2,4.93,,,,
taxi,RelatedTo,hackney_cab,['hackney' 'cab'],1,4.93,,,,
taxi,RelatedTo,hire,['hire'],1,4.93,,,,
taxi,RelatedTo,taxi_driver,['taxi' 'driver'],1,4.93,,,,
taxi,RelatedTo,journey,['journey'],1,4.93,,,,
taxi,RelatedTo,share_taxi,['share' 'taxi'],1,4.93,,,,
taxi,RelatedTo,aircraft,['aircraft'],1,4.93,,,,
taxi,IsA,gas_driven_automobile,['gas' 'drive' 'automobile'],1,4.93,,,,
taxi,IsA,car,['car'],1,4.93,,,,
taxi,CapableOf,tail_car,['tail' 'car'],1,4.93,,,,
taxi,AtLocation,street,['street'],1,4.93,,,,
taxi,IsA,taxi,['taxi'],3.464101615,4.93,,,,
taxi,RelatedTo,taxi,['taxi'],3.464101615,4.93,,,,
taxi,Synonym,cab,['cab'],2,4.93,,,,
drizzle,RelatedTo,rain,['rain'],2.648018127,4.21,,,,
drizzle,IsA,rain,['rain'],2,4.21,,,,
drizzle,MannerOf,sprinkle,['sprinkle'],2,4.21,,,,
drizzle,MannerOf,rain,['rain'],2,4.21,,,,
drizzle,RelatedTo,pour,['pour'],1,4.21,,,,
drizzle,RelatedTo,oil,['oil'],1,4.21,,,,
drizzle,RelatedTo,syrup,['syrup'],1,4.21,,,,
drizzle,RelatedTo,honey,['honey'],1,4.21,,,,
drizzle,RelatedTo,icing,['ice'],1,4.21,,,,
drizzle,HasProperty,welcome_when_fires_rampant,['welcome' 'fire' 'rampant'],1,4.21,,,,
drizzle,IsA,drizzle,['drizzle'],2.648018127,4.21,,,,
drizzle,RelatedTo,drizzle,['drizzle'],2.648018127,4.21,,,,
boundary,IsA,line,['line'],2,3.04,,,,
boundary,IsA,extremity,['extremity'],2,3.04,,,,
boundary,IsA,area,['area'],1,3.04,,,,
boundary,UsedFor,delineating_political_unit,['delineate' 'political' 'unit'],1,3.04,,,,
boundary,UsedFor,delineating_country,['delineate' 'country'],1,3.04,,,,
boundary,UsedFor,indicate_border,['indicate' 'border'],1,3.04,,,,
boundary,UsedFor,limiting,['limit'],1,3.04,,,,
boundary,UsedFor,separating_one_thing_from_another,['separate' 'one' 'thing'],1,3.04,,,,
boundary,UsedFor,keeping_people_out_or_in,['keep' 'people' 'out'],1,3.04,,,,
boundary,UsedFor,separate_areas,['separate' 'area'],1,3.04,,,,
boundary,UsedFor,identifying_property,['identify' 'property'],1,3.04,,,,
boundary,UsedFor,marking_territory,['mark' 'territory'],1,3.04,,,,
boundary,UsedFor,indicating_space,['indicate' 'space'],1,3.04,,,,
boundary,UsedFor,establishing_political_units,['establish' 'political' 'unit'],1,3.04,,,,
boundary,AtLocation,sporting_event,['sport' 'event'],1,3.04,,,,
boundary,AtLocation,society,['society'],1,3.04,,,,
boundary,AtLocation,basketball,['basketball'],1,3.04,,,,
boundary,AtLocation,map,['map'],1,3.04,,,,
boundary,AtLocation,ranch_country,['ranch' 'country'],1,3.04,,,,
boundary,AtLocation,country,['country'],1,3.04,,,,
boundary,AtLocation,atlas_or_map,['atlas' 'map'],1,3.04,,,,
boundary,IsA,boundary,['boundary'],2,3.04,,,,
boundary,RelatedTo,boundary,['boundary'],2,3.04,,,,
boundary,RelatedTo,border,['border'],1,3.04,,,,
boundary,Synonym,border,['border'],1,3.04,,,,
adversary,IsA,person,['person'],2,2.93,,,,
adversary,RelatedTo,rival,['rival'],1,2.93,,,,
adversary,RelatedTo,devil,['devil'],1,2.93,,,,
adversary,RelatedTo,satan,['satan'],1,2.93,,,,
adversary,IsA,adversary,['adversary'],2,2.93,,,,
adversary,RelatedTo,adversary,['adversary'],2,2.93,,,,
adversary,Synonym,opponent,['opponent'],1,2.93,,,,
adversary,RelatedTo,opponent,['opponent'],1,2.93,,,,
cop,CapableOf,tail_suspect,['tail' 'suspect'],3.464101615,4.3,,,,
cop,IsA,slang_word_for_police_officer,['slang' 'word' 'police' 'officer'],1,4.3,,,,
cop,CapableOf,corner_criminal,['corner' 'criminal'],1,4.3,,,,
cop,CapableOf,get_bribe,['get' 'bribe'],1,4.3,,,,
cop,CapableOf,fine_person,['fine' 'person'],1,4.3,,,,
cop,CapableOf,nail_criminal,['nail' 'criminal'],1,4.3,,,,
cop,CapableOf,fine_for_illegal_parking,['fine' 'illegal' 'parking'],1,4.3,,,,
cop,CapableOf,direct_traffic,['direct' 'traffic'],1,4.3,,,,
cop,CapableOf,book_perp,['book' 'perp'],1,4.3,,,,
cop,AtLocation,street,['street'],1,4.3,,,,
cop,AtLocation,street_corner,['street' 'corner'],1,4.3,,,,
cop,AtLocation,roadblock,['roadblock'],1,4.3,,,,
cop,AtLocation,park,['park'],1,4.3,,,,
cop,AtLocation,corner_of_two_streets,['corner' 'two' 'street'],1,4.3,,,,
cop,IsA,cop,['cop'],3.464101615,4.3,,,,
cop,RelatedTo,cop,['cop'],3.464101615,4.3,,,,
pact,RelatedTo,agreement,['agreement'],1.49,2.52,,,,
pact,RelatedTo,covenant,['covenant'],1,2.52,,,,
pact,IsA,policy,['policy'],1,2.52,,,,
pact,IsA,book,['book'],0.5,2.52,,,,
pact,IsA,pact,['pact'],1.49,2.52,,,,
pact,RelatedTo,pact,['pact'],1.49,2.52,,,,
pact,Synonym,agreement,['agreement'],1,2.52,,,,
corporation,CapableOf,hold_bank_account,['hold' 'bank' 'account'],2.828427125,2.79,,,,
corporation,RelatedTo,business,['business'],2.740072992,2.79,,,,
corporation,RelatedTo,company,['company'],2.565151068,2.79,,,,
corporation,RelatedTo,corporate,['corporate'],2,2.79,,,,
corporation,IsA,firm,['firm'],2,2.79,,,,
corporation,RelatedTo,municipal,['municipal'],1,2.79,,,,
corporation,IsA,organization,['organization'],1,2.79,,,,
corporation,IsA,large_business,['large' 'business'],1,2.79,,,,
corporation,IsA,legal_entity,['legal' 'entity'],1,2.79,,,,
corporation,IsA,corporation,['corporation'],2.828427125,2.79,,,,
corporation,RelatedTo,corporation,['corporation'],2.828427125,2.79,,,,
business,UsedFor,making_money,['make' 'money'],4,3.28,,,,
business,RelatedTo,company,['company'],3.217452408,3.28,,,,
business,AtLocation,office_building,['office' 'building'],2.828427125,3.28,,,,
business,RelatedTo,work,['work'],2.422395509,3.28,,,,
business,IsA,sector,['sector'],2,3.28,,,,
business,IsA,acting,['act'],2,3.28,,,,
business,IsA,business_activity,['business' 'activity'],2,3.28,,,,
business,IsA,enterprise,['enterprise'],2,3.28,,,,
business,IsA,business,['business'],2,3.28,,,,
business,IsA,concern,['concern'],2,3.28,,,,
business,IsA,aim,['aim'],2,3.28,,,,
business,HasProperty,opening_early,['open' 'early'],2,3.28,,,,
business,RelatedTo,corporation,['corporation'],1.237,3.28,,,,
business,RelatedTo,money,['money'],1.173,3.28,,,,
business,RelatedTo,amount,['amount'],1,3.28,,,,
business,RelatedTo,coach,['coach'],1,3.28,,,,
business,RelatedTo,first_class,['first' 'class'],1,3.28,,,,
business,RelatedTo,hollywood,['hollywood'],1,3.28,,,,
business,RelatedTo,trade,['trade'],1,3.28,,,,
business,RelatedTo,commercial,['commercial'],1,3.28,,,,
business,IsA,money_making_enterprise,['money' 'making' 'enterprise'],1,3.28,,,,
business,IsA,may_own,['own'],1,3.28,,,,
business,IsA,commercial_organization,['commercial' 'organization'],1,3.28,,,,
business,IsA,organization,['organization'],1,3.28,,,,
business,PartOf,business_community,['business' 'community'],1,3.28,,,,
business,RelatedTo,business,['business'],4,3.28,,,,
business,RelatedTo,industry,['industry'],0.205,3.28,,,,
victory,CausesDesire,celebrate,['celebrate'],3.464101615,2.55,,,,
victory,IsA,ending,['end'],2,2.55,,,,
victory,IsA,success,['success'],2,2.55,,,,
victory,IsA,when_one_opponent_defeats_another,['one' 'opponent' 'defeat'],2,2.55,,,,
victory,IsA,event,['event'],1,2.55,,,,
victory,IsA,single,['single'],0.5,2.55,,,,
victory,IsA,victory,['victory'],3.464101615,2.55,,,,
victory,RelatedTo,victory,['victory'],3.464101615,2.55,,,,
victory,Synonym,triumph,['triumph'],1,2.55,,,,
abundance,IsA,quantity,['quantity'],2,2.21,,,,
abundance,IsA,ratio,['ratio'],2,2.21,,,,
abundance,RelatedTo,amount,['amount'],1,2.21,,,,
abundance,RelatedTo,sample,['sample'],1,2.21,,,,
abundance,RelatedTo,solo,['solo'],1,2.21,,,,
abundance,RelatedTo,bid,['bid'],1,2.21,,,,
abundance,RelatedTo,overflowing,['overflow'],1,2.21,,,,
abundance,RelatedTo,environment,['environment'],1,2.21,,,,
abundance,RelatedTo,frequency,['frequency'],1,2.21,,,,
abundance,RelatedTo,abound,['abound'],1,2.21,,,,
abundance,RelatedTo,superfluity,['superfluity'],1,2.21,,,,
abundance,RelatedTo,copious,['copious'],1,2.21,,,,
abundance,RelatedTo,trick,['trick'],1,2.21,,,,
abundance,IsA,situation,['situation'],1,2.21,,,,
abundance,IsA,abundance,['abundance'],2,2.21,,,,
abundance,RelatedTo,abundance,['abundance'],2,2.21,,,,
abundance,RelatedTo,plenty,['plenty'],0.533,2.21,,,,
journey,RelatedTo,travel,['travel'],2,2.57,,,,
journey,IsA,travel,['travel'],2,2.57,,,,
journey,RelatedTo,trip,['trip'],1,2.57,,,,
journey,RelatedTo,weight,['weight'],1,2.57,,,,
journey,IsA,video_game,['video' 'game'],0.5,2.57,,,,
journey,IsA,journey,['journey'],2,2.57,,,,
journey,RelatedTo,journey,['journey'],2,2.57,,,,
journey,Synonym,trip,['trip'],1,2.57,,,,
physician,RelatedTo,doctor,['doctor'],2.862167011,4.65,,,,
physician,IsA,medical_doctor,['medical' 'doctor'],2,4.65,,,,
physician,RelatedTo,physicist,['physicist'],1,4.65,,,,
physician,RelatedTo,physic,['physic'],1,4.65,,,,
physician,RelatedTo,human,['human'],1,4.65,,,,
physician,RelatedTo,physics,['physic'],1,4.65,,,,
physician,RelatedTo,surgeon,['surgeon'],1,4.65,,,,
physician,IsA,one_type_of_medical_professional,['one' 'type' 'medical' 'professional'],1,4.65,,,,
physician,IsA,medic,['medic'],1,4.65,,,,
physician,CapableOf,doctor_wound,['doctor' 'wound'],1,4.65,,,,
physician,CapableOf,set_set_bone,['set' 'set' 'bone'],1,4.65,,,,
physician,IsA,book,['book'],0.5,4.65,,,,
physician,IsA,physician,['physician'],2.862167011,4.65,,,,
physician,RelatedTo,physician,['physician'],2.862167011,4.65,,,,
physician,Synonym,doctor,['doctor'],2,4.65,,,,
task,RelatedTo,job,['job'],2.015936507,2.84,,,,
task,MannerOf,delegate,['delegate'],2,2.84,,,,
task,RelatedTo,chore,['chore'],1.265,2.84,,,,
task,CapableOf,near_conclusion,['near' 'conclusion'],1,2.84,,,,
task,IsA,task,['task'],2.015936507,2.84,,,,
task,RelatedTo,task,['task'],2.015936507,2.84,,,,
task,Synonym,job,['job'],2,2.84,,,,
task,RelatedTo,assignment,['assignment'],0.107,2.84,,,,
movie,AtLocation,theater,['theater'],6.633249581,4.59,,,,
movie,ReceivesAction,recorded_on_film,['record' 'film'],4.472135955,4.59,,,,
movie,IsA,film,['film'],3.464101615,4.59,,,,
movie,UsedFor,entertainment,['entertainment'],3.464101615,4.59,,,,
movie,RelatedTo,film,['film'],2.888598276,4.59,,,,
movie,IsA,sequence_of_frames,['sequence' 'frame'],2.828427125,4.59,,,,
movie,UsedFor,learn,['learn'],2.828427125,4.59,,,,
movie,CapableOf,star_actor,['star' 'actor'],2.828427125,4.59,,,,
movie,AtLocation,movie_theater,['movie' 'theater'],2.828427125,4.59,,,,
movie,AtLocation,movie,['movie'],2.828427125,4.59,,,,
movie,CausesDesire,stand_in_queue,['stand' 'queue'],2.828427125,4.59,,,,
movie,IsA,product,['product'],2,4.59,,,,
movie,IsA,show,['show'],2,4.59,,,,
movie,RelatedTo,cinema,['cinema'],1.362,4.59,,,,
movie,RelatedTo,screen,['screen'],1,4.59,,,,
movie,IsA,video,['video'],1,4.59,,,,
movie,IsA,way_of,['way'],1,4.59,,,,
movie,IsA,media_product,['medium' 'product'],1,4.59,,,,
movie,IsA,slang_for_film,['slang' 'film'],1,4.59,,,,
movie,IsA,conceptual_work,['conceptual' 'work'],1,4.59,,,,
movie,IsA,another_word_for_film,['word' 'film'],1,4.59,,,,
movie,HasA,more_than_one_scene,['more' 'one' 'scene'],1,4.59,,,,
movie,HasA,ending,['end'],1,4.59,,,,
movie,UsedFor,viewing,['view'],1,4.59,,,,
movie,UsedFor,fun,['fun'],1,4.59,,,,
movie,IsA,movie,['movie'],6.633249581,4.59,,,,
movie,RelatedTo,movie,['movie'],6.633249581,4.59,,,,
movie,Synonym,film,['film'],2,4.59,,,,
shore,IsA,geological_formation,['geological' 'formation'],2,4.79,,,,
shore,IsA,beam,['beam'],2,4.79,,,,
shore,UsedFor,swim,['swim'],2,4.79,,,,
shore,UsedFor,surfing,['surf'],2,4.79,,,,
shore,AtLocation,beach,['beach'],2,4.79,,,,
shore,MannerOf,bound,['bound'],2,4.79,,,,
shore,LocatedNear,ocean,['ocean'],2,4.79,,,,
shore,IsA,at_sea_level,['sea' 'level'],1,4.79,,,,
shore,UsedFor,lounging_on_beach,['lounge' 'beach'],1,4.79,,,,
shore,UsedFor,demarking_land_from_ocean,['demarking' 'land' 'ocean'],1,4.79,,,,
shore,UsedFor,swimming_to,['swim'],1,4.79,,,,
shore,UsedFor,getting_on_boat,['get' 'boat'],1,4.79,,,,
shore,UsedFor,going_into_water,['go' 'water'],1,4.79,,,,
shore,UsedFor,relaxing_near_ocean,['relax' 'ocean'],1,4.79,,,,
shore,UsedFor,docking_boat,['dock' 'boat'],1,4.79,,,,
shore,UsedFor,meditation,['meditation'],1,4.79,,,,
shore,AtLocation,california,['california'],1,4.79,,,,
shore,AtLocation,seaside_town,['seaside' 'town'],1,4.79,,,,
shore,AtLocation,picture_of_sea_side,['picture' 'sea' 'side'],1,4.79,,,,
shore,HasProperty,next_to_sea,['next' 'sea'],1,4.79,,,,
shore,LocatedNear,water,['water'],1,4.79,,,,
shore,IsA,shore,['shore'],2,4.79,,,,
shore,RelatedTo,shore,['shore'],2,4.79,,,,
friend,UsedFor,confiding,['confide'],4,3.07,,,,
friend,UsedFor,companionship,['companionship'],3.464101615,3.07,,,,
friend,CapableOf,talk,['talk'],3.464101615,3.07,,,,
friend,RelatedTo,buddy,['buddy'],3.348432469,3.07,,,,
friend,RelatedTo,pal,['pal'],3.102901868,3.07,,,,
